제목,작성일,본문,상세 링크,이미지 파일 경로
[교육] 5월 도서관 이용자 교육 안내,4월 25일,"5월 도서관 이용자 교육 안내

○사서가 강의하는정규교육은 스마트캠퍼스 e-루리에서도 수강가능합니다.
(수강방법)e-루리?>자율강좌 > [춘천] 2025-1학기 도서관 이용자 교육 > 신청(가입하기) > 강좌수강

○참고사항
-이용자교육실 좌석수(30석)가 한정되어 있어 사전등록 필요
-도서관정규교육?또는 e-루리 자율강좌수강완료 시 혜택
①[변경]도서관 마일리지 부여 (사서직강, 강사초청 및 업체교육, e-루리 자율강좌)
※ 도서관마일리지는 동일 강좌 중복수강 시 높은 점수 부여(예: <도서관 200% 활용하기> 강좌를 이루리 교육과 대면교육 둘 다 수강 시 높은 점수인 20점 부여)※ 대면교육 20점, 실시간 온라인 Zoom 10점, e-루리 자율강좌 5점 (연간 최대 100점)
②비교과 마일리지 부여 (사서직강,?e-루리 자율강좌)
※?비교과 마일리지는 학기별,?강좌별?1회만 부여(예: 2025년 1학기에 <도서관 200% 활용하기> 강좌를 이루리 교육과 대면교육 둘 다 수강하여도 비교과 마일리지는 1회만 부여됨)
③만족도 조사 참여자 중 추첨을통해 소정의 경품 증정(당첨자 개별 안내)

★ 도서관 정규교육※[사서직강]은 e-루리에서도 수강 가능 합니다.
[사서직강], [도서관마일리지], [비교과마일리지]도서관 200% 활용하기
[사서직강], [도서관마일리지], [비교과마일리지]학술자료검색:국내편
[사서직강], [도서관마일리지], [비교과마일리지]학술자료검색:국외편 기초
[사서직강], [도서관마일리지], [비교과마일리지]학술자료검색:국외편 심화
[강사초청], [도서관마일리지]Web of Science+Journal Citation Reports+InCites
[사서직강], [도서관마일리지], [비교과마일리지](논문작성을 위한) 참고문헌작성법: EndNote활용하기
[사서직강], [도서관마일리지], [비교과마일리지](논문작성을 위한) 참고문헌작성법: RefWorks활용하기

★ 학술DB 제공사 자체교육※개별 제공사 교육 일정에 따라 지속적으로 업데이트 됩니다.
[도서관마일리지], [온라인교육], [전주제], [전자책]Ebook Central
[도서관마일리지], [온라인교육], [참고문헌관리도구]RefWorks
[도서관마일리지], [온라인교육], [전주제]KSDC DB
[도서관마일리지], [온라인교육], [전주제]DBpia
[도서관마일리지], [온라인교육], [전주제]EBSCOhost DB
[도서관마일리지], [온라인교육], [전주제]EBSCOhost DB
[도서관마일리지], [온라인교육], [전주제]ProQuest Central
[도서관마일리지], [온라인교육], [역사학]ProQuest Historical Periodicals(PHP)
[도서관마일리지], [온라인교육], [간호학]CINAHL
[도서관마일리지], [온라인교육], [전주제]KSDC DB
[도서관마일리지], [온라인교육], [간호학]CINAHL
[도서관마일리지], [온라인교육], [전주제]DBpia
[도서관마일리지], [온라인교육], [전주제]KSDC DB
[도서관마일리지], [온라인교육], [전주제]KISS
[도서관마일리지], [온라인교육], [전주제]KSDC DB
[도서관마일리지], [온라인교육], [전주제]DBpia
[도서관마일리지], [온라인교육], [교육학]Education Source / ERIC
[도서관마일리지], [온라인교육], [전주제]KSDC DB
[도서관마일리지], [온라인교육], [경영/경제]BSP / BSC / BSU
[도서관마일리지], [온라인교육], [전주제]EBSCOhost DB
[도서관마일리지], [온라인교육], [전주제]EBSCOhost DB",https://library.kangwon.ac.kr/community/bulletin/notice/34628?max=100&offset=0&bulletinCategoryId=1,
[사전공지]「KNU 강원인문기행: 영월 편」신청 안내(무료/선착순 32명),4월 24일,,https://library.kangwon.ac.kr/community/bulletin/notice/34608?max=100&offset=0&bulletinCategoryId=1,data/images/44f92ba92cdea918c52690650c291bee.jpg
[이벤트] 학술전자정보 온라인 퀴즈(4/23~4/25),4월 21일,"

>> 퀴즈풀기 바로가기?(4/23?부터)?<<
https://forms.gle/Q8ucjNGSWNiQyfMRA

2025 학술전자정보 박람회 참여 효과 확대 및 전자자료 활용 능력 향상을 위한학술전자정보 온라인 퀴즈를 운영하오니, 관심있는 분들의 많은 참여 바랍니다.

1. 기간:2025. 4. 23. (수) ~ 4.25.(금) [3일간]
2. 대상: 춘천캠퍼스 학부, 대학원 재학생
3. 내용: 도서관 구독 학술전자자료를 활용한 퀴즈 풀기
4.참여자 혜택1) 경품 지급: 40명 (우수상 5명, 행운상 35명)가.(우수상 5명)최다득점자 순으로 1~5등 선정,※동점자는선착순10명 내 추첨※경품: (1등)아이패드, (2등)애플워치, (3~4등)에어팟, (5등)JBL무선헤드폰나.(행운상 35명)전체 참여자 중 우수상 수상자 외 추첨 선발※경품: 스타벅스 온라인 상품권(1만원) 15명,?네이버포인트(1만원) 20명 등
2) 참여자 전원 도서관 마일리지 지급(10점)

문의: 033-250-8013 도서관 교육연구지원팀",https://library.kangwon.ac.kr/community/bulletin/notice/34569?max=100&offset=0&bulletinCategoryId=1,data/images/1a00c1440a5c15f1bc573db8eb8c0909.jpg
[미래] 그룹스터디룸 1개실 예약 일시 중단 안내(수리완료/이용가능),4월 21일,"점검 및 수리가 완료되어 GS-17 정상 이용 가능합니다.
시스템 오류로 인하여 KNU미래도서관 그룹스터디룸 1개실(GS-17)의
예약이 일시 중단되오니?이용자 여러분의 양해 부탁드립니다.

■ 내용: GS-17?/ 1개실 예약?중단
■ 일시: 2025.4.20. ~ (점검 및 수리 완료 시 까지)
■ 사유: 네트워크 연결 오류
■ 문의: 도서관 정보서비스팀(033-250-7624)",https://library.kangwon.ac.kr/community/bulletin/notice/34563?max=100&offset=0&bulletinCategoryId=1,
[춘천] 음악이 흐르는 목요도서관 (2025.4.24. 목요일 저녁 7시),4월 18일,"

""봄, 앙상블 백령의 선율일기""
- 일시: 2025년 4월 24일 목요일 저녁7시
- 장소: 미래도서관 지하 1층 정강홀 미래스퀘어
- 대상: 교내구성원, 지역주민 등 누구나
- 혜택: (학생) 비교과 마일리지 인

[프로그램]
D. 쇼스타코비치 - 피아노 삼중주 1번 다단조, 작품번호 8
D.Shostakovich - Piano Trio No. 1 in C minor, Op. 8

F.하이든 - 피아노 삼중주 39번 G장조, Hob. XV:25 ""집시 트리오""
F.Haydn - Piano Trio No. 39 in G major, Hob. XV:25 ""Gypsy Trio""

A. 피아졸라 - 부에노스아이레스의 사계 중 발췌
A. Piazzolla - The Four Seasons of Buenos Aires(Spring/Summer)

- 문의: 정보서비스팀 033-250-8016/8019",https://library.kangwon.ac.kr/community/bulletin/notice/34545?max=100&offset=0&bulletinCategoryId=1,data/images/6a4bcfa477649d3148ec563bcbcbed2d.jpg;data/images/100e72eab0dce3ec6419fb790baf2ced.jpg
[춘천] ♬ ‘음악이 흐르는 목요도서관’ 연간 일정 안내 ♬,4월 18일,"2025년'음악이 흐르는 목요도서관'의 연간 일정을 안내드립니다.
이용자 여러분의 많은 참여 바랍니다.감사합니다.



※상기일정은 주최측 사정에 의해 변경될 수 있습니다.

-문의:강원대학교 도서관 학술정보운영과(033-250-8016/8019)",https://library.kangwon.ac.kr/community/bulletin/notice/34544?max=100&offset=0&bulletinCategoryId=1,data/images/29676930945559c0c62884f3a6de2503.jpg
[공모전] 2025년 두리글빛 감성 문구 공모전,4월 17일,"
○ (공 모 명) 2025년 두리글빛 감성 문구 공모전
○ (공모주제) 계절별 감성 문구
○ (공모대상) 강원대학교 춘천캠퍼스 재학생
○ (접수기간) 2025. 4. 17.(목) ~ 5. 9.(금)
○ (상 금) 총 400천원
○ (마일리지) 참여자 전원에게 도서관 마일리지 부여(10점)",https://library.kangwon.ac.kr/community/bulletin/notice/34506?max=100&offset=0&bulletinCategoryId=1,data/images/d44de79cf2afdb97bd1967365f58bcf9.jpg
???'SAC on MIRAE' ??음악회「보컬 마스터 시리즈 [베이스 연광철]」영상 상영 안내 (2025년 1회차) ?간식 제공 / 비교과·도서관 마일리지 부여?,4월 16일,"""도서관 스크린 속 예술의전당""
<2025년?'SAC on MIRAE' 1회차>음악회「보컬 마스터 시리즈 [베이스 연광철]」영상 상영 안내

관람 신청하기 >>
연간 상영일정 보기?>>



강원대학교 도서관에서는 대학 구성원 및 지역주민에게 양질의 문화예술 콘텐츠 향유 기회를 제공하고자 2025년 'SAC on MIRAE' 프로그램을 운영합니다.
예술의전당(Seoul Arts Center)의 연극, 오페라, 무용, 음악회 등 우수 공연 콘텐츠 영상을 상영하오니 여러분들의 많은 참여 바랍니다!

<2025년 'SAC on MIRAE' 1회차 영상 상영 안내>
-상영작품:음악회「보컬 마스터 시리즈 [베이스 연광철]」
-작품설명:오페라극장을 압도하는 현존 최고의 베이스 연광철의 깊고 강렬한 목소리를 만나볼 수 있는 공연 실황
-상영일시:2025. 4. 23.(수) 19:00 ~ 20:45
-상영장소: KNU미래도서관 정강홀(지하1층)
-관람대상: 교내구성원, 지역주민 등 누구나
-접수기간:2025. 4. 16.(수) ~ 4. 23.(수) 09:00
-참여혜택:# 관람객 선착순 간식 제공# [교내구성원 및 도서관회원] 도서관 마일리지 5점 + [재학생] 비교과 마일리지 1점 추가 적립※ 비교과 마일리지는 행사 참여 후 설문조사 페이지에서 한줄평 작성 필수
-문의전화: 강원대학교 도서관 학술정보운영과?033-250-7621
-신청 바로가기:https://m.site.naver.com/1G90h

관람 신청하기 >>
연간 상영일정 보기?>>
",https://library.kangwon.ac.kr/community/bulletin/notice/34500?max=100&offset=0&bulletinCategoryId=1,data/images/024ad4073c95bb434ac14df2483cdf61.jpg;data/images/4713ce53fbc76c763113b485c6f68781.jpg
"?????2025년 'SAC on MIRAE' 연간 상영 일정 안내 (""도서관 스크린 속 예술의전당"") ?간식 제공 / 비교과·도서관 마일리지 부여?",4월 16일,"""도서관 스크린 속 예술의전당""
2025년'SAC on MIRAE' 연간상영 일정 안내

강원대학교 도서관에서는 대학 구성원 및 지역주민에게 양질의 문화예술 콘텐츠 향유 기회를 제공하고자2025년'SAC on MIRAE'프로그램을 운영합니다.
예술의전당(Seoul Arts Center)의 연극,오페라,무용,음악회 등우수 공연 콘텐츠 영상을 상영하오니 여러분들의 많은 참여 바랍니다.
2025년'SAC on MIRAE' 연간상영 일정을 안내해 드리며,참가 접수는 각 회차별로1~2주 전 별도 공지할 예정입니다.감사합니다.



관람 신청하기?>>
회차별 접수 시작 알림신청?>>

<2025년'SAC on MIRAE'상영 일정표>
월
회차
작품명
장르
상영일시
관람연령
주요내용
4월
1회
보컬 마스터 시리즈[베이스 연광철]
음악회
2025. 4. 23.(수)
19:00~20:45
전체
오페라극장을 압도하는 현존 최고의 베이스 연광철의 깊고 강렬한 목소리를 만나볼 수 있는 공연 실황
5월
2회
심청
발레
2025. 5. 7.(수)
19:00~20:30
전체
고전 판소리‘심청전’을 소재로 유니버설 발레단이 선보이는 동양의 아름다움
3회
추남,미녀
(Cast.김상보,이지혜)
연극
2025. 5. 21.(수)
19:00~20:40
15세 이상
평범하지 않은 남녀가 평범한 만남 가운데 자아와 사랑의 본질을 찾아 나가는 이야기,연극‘추남,미녀’의 공연 실황
6월
4회
마술피리
오페라
2025. 6. 4.(수)
19:00~20:45
전체
모차르트,그의 마법의 손길에서 태어난 동화같은 오페라
9월
5회
크리스토프 에센바흐& KBS교향악단 말러 교향곡 제2번‘부활’
음악회
2025. 9. 3.(수)
19:00~20:35
전체
최고의 마에스트로 크리스토프 에센바흐와KBS교향악단이 선사하는 긴 고난 끝에 다시 일어선 모두에게 바치는 부활의 메세지
6회
실종법칙
(Cast.이형훈,노수산나)
연극
2025. 9. 17.(수)
19:00~20:05
12세 이상
한 사람이 실종된 긴박한 순간에 비로소 마주하게 되는 진실,미스터리 추리극‘실종법칙’의 공연 실황
10월
7회
양손프로젝트 단편선 레파토리展Part 2 (운수좋은날,전원비화,태형)
연극
2025. 10. 1.(수)
19:00~20:05
15세 이상
작가들이 깊이 있는 시선으로 담아낸 삶의 이야기를 양손프로젝트 특유의 연극성이 가득한 무대로 만날 수 있는 공연 영상
8회
안중근,천국에서의 춤
발레
2025. 10. 29.(수)
19:00~20:15
전체
안중근 의사의 유언을 모티브 삼아 그의 삶과 독립에 대한 염원을 담은 창작 발레 공연 실황
11월
9회
늙은 부부이야기
(Cast.김명곤,차유경)
연극
2025. 11. 12.(수)
19:00~20:40
12세 이상
젊은 연인들만큼이나 뜨겁고 순수한 노부부의 사랑이야기를 그린 연극
10회
이은결[더 일루션-마스터피스]
마술
2025. 11. 26.(수)
19:00~20:15
전체
상상과 현실을 넘나드는 전세계 단 하나의 작품,일루셔니스트 이은결이 선사하는 신비로운 세계
※상기 일정은 도서관 사정에 따라 변경될 수 있습니다.

-상영장소: KNU미래도서관 정강홀(지하1층)
-주최:강원대학교 도서관/후원:예술의전당
-문의:강원대학교 도서관 학술정보운영과(033-250-7621)

관람?신청하기?>>
회차별 접수 시작 알림신청?>>
",https://library.kangwon.ac.kr/community/bulletin/notice/34499?max=100&offset=0&bulletinCategoryId=1,data/images/3bedcf958375f27ef0e42169bc9304b4.jpg
[춘천]2025학년도 도서관 희망도서 신청 이용안내,4월 15일,"? 춘천 캠퍼스 도서관에서 운영하는 희망도서 신청제를? 안내하오니, 아래내용을 참고하여 활용하시기 바랍니다.
- 문의: 춘천캠퍼스 도서관 학술정보지원과?자료개발팀(☎033-250-8007)

구 분
국내서
국외서
인쇄책
전자책
인쇄책
전자책
소요기간
주문일로부터7일
신청일로부터7일
주문일로부터30일
신청일로부터7일
신청한도
교 원
1,000,000원
교 원
1,000USD
학생 및 기타 신분
200,000원
학생 및 기타 신분
200USD
신청기간
·‘25. 4. ~ ’26. 2.※예산 상황에 따라 조기 마감될 수 있음
신청자격
·춘천캠퍼스교내구성원:재학·재직 상태의 학부생,대학원생,교직원
·춘천캠퍼스도서관회원제:우대회원,대학원수료생회원,휴학생회원,휴직회원
신청제한
·유아,아동,청소년,무협,만화류 등 대학도서관 장서로 부적합한 자료",https://library.kangwon.ac.kr/community/bulletin/notice/34477?max=100&offset=0&bulletinCategoryId=1,
"미래도서관 행사 소음 안내(4/16, 학술전자정보 박람회)",4월 14일,"2025?학술전자정보 박람회행사로 인하여소음이발생할 수 있으니 이용에 양해바랍니다.

○ 행사일시:2025. 4. 16.(수) 10:00?~ 17:00(행사 일정에 따라 변경될 수 있습니다.)
○ 장소: 미래도서관 1층 로비

<2025?학술전자정보 박람회> 행사 안내 바로가기
",https://library.kangwon.ac.kr/community/bulletin/notice/34441?max=100&offset=0&bulletinCategoryId=1,
"[이벤트] 2025년 학술전자정보박람회 개최 (4/16, 미래도서관)",4월 8일,"

도서관에서는 구독 전자자료의 홍보 및 이용 활성화를 위해생명공학 외국학술지지원센터(FRIC)와 공동으로「2025년 학술전자정보 박람회」를 개최하오니,교내 구성원 여러분의 많은 관심과 참여 바랍니다.

1. 일시:2025. 4. 16.(수) 10:00~16:00
2. 장소:KNU 미래도서관 1층 로비
3. 대상: 재학생(학부, 대학원) 및 교직원 등 학내 구성원
4. 행사 내용가. 구독 전자자료 홍보 및 이용 안내나. 생명공학 외국학술지지원센터(FRIC) 홍보 및 안내
5. 참가업체: 첨부파일 참조? ※ 업체 사정에 따라 변경될 수 있습니다.
6.참가혜택가. 3개 이상 부스 방문 시추첨을 통해 노트북, 태블릿PC등 경품제공(※재학생만 해당,16시 추첨 시 참석 필수):20명 예정나. 5개 이상 부스 방문 시미니캐리어, 스타벅스 1만원권 등선착순경품제공(재학생 및 교직원):선착순 80명 예정

문의: 033-250-8013 도서관 교육연구지원팀",https://library.kangwon.ac.kr/community/bulletin/notice/34342?max=100&offset=0&bulletinCategoryId=1,data/images/1e3a3bd05da1321c466511a719ebf09d.jpg;data/images/2115a1adf5a78d9b20b5b204a21d81b0.jpg
[이벤트/비교과] 2025-1차 북큐레이션 및 서평&인증샷 이벤트 안내,4월 8일,"2025-1차 강원대학교 도서관 북큐레이션 기획전시회 및 서평 이벤트 안내

성장과 도약을 위한 한 걸음, 나를 채우는 시간
바쁜 일상 속, 한 권의 책이 생각을 넓히고 마음을 움직이는 순간,
당신의 성장은 이미 시작되고 있습니다.
3월~5월도서관에서는
자기계발을 주제로 엄선한 도서 40종 + 전국도서관 인기베스트 50종을 함께 전시 중이며,
북큐레이션 전시와 함께 서평&인증샷 이벤트가 진행? 중이며,
참여 시경품 및 마일리지(도서관, 비교과)도 받으실 수 있습니다.
성장을 위한 한 걸음, 좋은 책 한 권에서 시작됩니다!
당신의 성장 한 걸음, 지금 도서관에서 시작하세요!

??온라인 북큐레이션 바로가기
??이벤트 참여 페이지 바로가기

",https://library.kangwon.ac.kr/community/bulletin/notice/34336?max=100&offset=0&bulletinCategoryId=1,data/images/c597f1f394e7eeb53cef83123f1792b5.jpg;data/images/e5decfb63b6f1f6fdeb72a3e4d6689b5.jpg;data/images/f06ef0e998a3aced60caffbb3294bf71.jpg
